filepath=/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx,len=33
page_content='关于进一步深化户籍制度改革的通知' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='二、持续放宽居住落户政策' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='（一）在城镇取得合法产权房屋（含已办理房屋转让合同网签备案或者取得购房合同及发票）人员，可以申请本人及其近亲属落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='申请在近亲属取得的合法产权房屋落户人员（该房屋上未登记户口，且申请人及配偶在本市无合法产权房屋），经产权人书面同意可以办理落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='合法产权房屋尚未办理权属证明的，可以在房屋所在地社区集体户落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='（二）在城镇租赁房屋居住并办理租赁合同备案和居住登记的人员（限申请人及配偶在本市无合法产权房屋），在房屋租赁期间可以申请本人及其近亲属在城镇近亲属家庭户或者租赁房屋所在地的城镇社区集体户落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='三、拓宽亲属投靠落户渠道' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='（一）被投靠人户籍登记在城镇合法产权房屋、单位集体户、人才集体户、社区集体户的，可以办理夫妻投靠，子女投靠父母，父母投靠成年子女，未成年孙子女、外孙子女投靠祖父母、外祖父母落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='（二）父母双亡的未成年人、无行为能力和限制行为能力人可以投靠其监护人落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='（三）夫妻一方服兵役、出国（境）定居或者死亡、失踪的，另一方确与配偶父母共同居住生活的，且配偶父母户籍登记在城镇合法产权房屋的，可以投靠配偶父母落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='四、加大稳定就业落户支持力度' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='在城镇稳定就业并办理居住登记的人员（限申请人及配偶在本市无合法产权房屋），在就业期间可以申请本人及其近亲属在城镇近亲属家庭户、单位集体户、就业地的城镇社区集体户落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='五、鼓励投资创业落户' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='在我市依法登记的商事主体，其负责人或所属员工可以申请本人及其近亲属在单位集体户或者其经营场所所在地的城镇社区集体户落户。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='六、完善服务保障' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='各级各部门各单位要充分认识深化户籍制度改革、放宽户口迁移政策的重要意义，细化配套政策措施，提高公共服务资源配置满足人口增长需求的能力。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='要按照“高效办成一件事”要求，优化业务办理流程，为群众提供精准化服务。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='要充分尊重群众意愿，依法保障农业转移人口及其他常住人口合法权益。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='本通知自发布之日起施行。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='以往有关规定与本通知不一致的，按本通知执行。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='青岛市人民政府' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='2023年11月6日' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'parent_id': 'e0205bba35aee5cc1f328175222b8609', 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'UncategorizedText', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
page_content='（此件公开发布）' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5/关于进一步深化户籍制度改革的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-08T16:38:53', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/b90cc428dc3e49a19cb877161662b1a5', 'filename': '关于进一步深化户籍制度改革的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': 'b90cc428dc3e49a19cb877161662b1a5', 'file_name': '关于进一步深化户籍制度改革的通知.docx'}
