filepath=/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx,len=47
page_content='关于印发《青岛自贸片区促进融资租赁发展扶持办法》的通知' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='(此页无正文)' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='中国(山东)自由贸易试验区青岛片区管委' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='青岛前湾保税港区管委' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='2022年11月4日' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'parent_id': 'e5386cc60aea068f6a31fde67bddfab8', 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'UncategorizedText', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='(此件公开发布)' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='青岛自贸片区促进融资租赁发展扶持办法' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第一条 为促进青岛自贸片区融资租赁行业高质量发展，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='支持片区融资租赁公司做大做强，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='鼓励融资租赁公司支持实体经济发展，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='拓宽中小微企业融资渠道，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='服务产业转型升级，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='根据《国务院办公厅关于加快融资租赁业发展的指导意见》(国办发〔2015〕68号)、《关于印发青岛市支持金融业高质量发展政策措施的通知》(青政办发〔2021〕9号)等有关规定，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='结合片区实际,' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='制定本办法。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第二条 本办法适用的融资租赁公司，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='是指在中国(山东)自由贸易试验区青岛片区(以下简称“片区”)内依法进行工商注册和税务登记的，' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='包括金融租赁公司、纳入山东省地方金融监督管理局监管名单的融资租赁公司、融资租赁公司分支机构在内的存续经营企业。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第三条 对在片区新设立的金融租赁公司，按其实缴资本金的2%给予落地扶持，最高不超过1亿元。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='对在片区新设立的融资租赁公司，实缴资本金在2亿元以上的，按其实缴资本金的1%给予扶持，最高不超过2000万元。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='对已设立的或从青岛市域外新迁入的金融租赁公司或融资租赁公司，实收资本每增资1亿元以上的，按增资额的1%给予扶持，该项扶持总计不超过1000万元。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第四条 对在片区新设立或从市域外新迁入的金融租赁公司或融资租赁公司，自公司产生区域经济发展贡献起5年内给予一定扶持。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第五条 在片区新设立的开展飞机(含直升飞机等)、船舶、大型设备等融资租赁业务的SPV公司，对公司存续期间产生的区域经济发展贡献给予一定扶持。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'parent_id': '173a3330242160c693db14b96ea9d3bc', 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'UncategorizedText', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第六条 在片区新设立的各类融资租赁公司，前5年对其高级管理人员和专业骨干人员(共计不超过8名)提供人才扶持。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
